AAL	Ashendon and Aynho Line	0.00 - 18.29	Ashendon Junction	Now NAJ3
WAT	Waterside Branch	43.53 - 55.36	Bridge Street Station via Dalry	nan
WAV	Waverley to Bonnington Branch	0.65 - 2.67	Edinburgh Waverley	nan
WAW	Willesden to Acton Wells Line	6.24 - 7.07	Clapham Junction	nan
WAW1	"Old A"	?? - ??	nan	nan
WAY	Waskerley Branch	0.00 - 7.16	Burnhill Junction	nan
WBA	Woodside Branch	145.43 - 146.00	Paddington via Didcot and Charlbury	nan
WBB	Wycombe Branch	24.05 - 33.68	Paddington	28.57 - 33.68 formerly WBE to January 1988
WBC	West Burton Power Station Loops	0.00 - 1.34	West Burton West Junction	nan
WBD	West Brompton Depot	0.00 - 0.11 ??	West Brompton Junction ??	= Brompton and Fullham Goods ??
WBE	Wycombe Branch (ex LM Region portion)	28.57 - 33.68	Paddington	Now part of WBB from January 1988
WBG	Workington Bridge Branch	0.00 - 0.30	Cloffocks Junction	nan
WBH	Westgate Branch	163.46 - 164.36	St Pancras via Sheffield	nan
WBJ	Whitchurch to Buttington Junction Line	18.00 - 21.67	Whitchurch Cambrian Junction via Oswestry	Now part of GNQ4
WBK	Welbeck Branch	0.00 - 0.60	Welbeck Colliery Junction	nan
WBN	West Benhar Branch	0.00 - 0.60	Benhar Pits Junction	nan
WBR	Wath Branch	0.00 - 8.47	Wrangbrook Junction	nan
WBS	Windsor Bridge North Junction (Salford Crescent) and Southport Line	see separate portions	nan	nan
WBS1	Windsor Bridge Junction to Crow Nest Junction	1.66 - 14.64	Manchester Victoria	nan
WBS2	Crow Nest Junction to Wigan Wallgate Junction	14.64 - 18.04	Manchester Victoria	nan
WBS3	Wigan Wallgate Junction to Southport	18.04 - 35.27	Manchester Victoria	nan
WBT	Willesden Brent Sidings Nos 1-15	1.02 - 2.00	Kensal Green Junction	nan
WBZ	West Bridge Branch	0.00 - 5.77	Desford Junction	nan
WCA	Weston Clevedon and Portishead Light Railway	0.00 - 14.27	Weston-super-Mare	Formerly WCP
WCB	Welbeck Colliery Branch	145.52 - 149.19	St Pancras	LMS route; unable to identify fully
WCC	Wolverhampton and Cannock Chase Light Railway	0.00 - 1.22	Essington Woods Siding Box	Essington Woods Siding to Hollybank Colliery off Walsall to Cannock line
WCE	Wilmington Curve	1.37 - 1.63	Hull Paragon ??	Curve joining H&B Alexandra Dock line to NE Hornsea branch at 3.01, this branch ending at 3.18. Curve opened 26 October 1968, closed 5 January 1976. Remaining H&B remiled: zero at Hessle Road Junction
WCG	Watford to Croxley Green Chord	0.00 - 0.28	Watford High Street Junction	nan
WCH	Whiteinch Branch	0.00 - 1.34	Whiteinch West Junction	nan
WCI	Wilton ICI Branch	0.00 - 3.19	Shell Junction	nan
WCK	Wick Line	0.02 - 161.36	Inverness	nan
WCL	Willesden Carriage Lines	1.00 - 2.74	Kensal Green Junction	nan
WCM	West Coast Main Line (north of Carlisle)	see separate portions	nan	nan
WCM1	Carlisle to Law Junction	0.00 - 84.10	Carlisle	nan
WCM2	Law Junction to Glasgow	84.10 - 102.27	Carlisle	nan
WCN	Whitland and Cardigan Branch/Cardigan Branch	261.14 - 286.32	Paddington via Stroud	Formerly WAC
WCO	Wingate Colliery Branch	?? - ??	nan	County Durham area
WCP	Weston Clevedon and Portishead Light Railway	nan	nan	Now WCA
WCP	West Calder Loop	0.00 - 4.51	Woodmuir Junction	nan
WCR	Wavertree Junction to Tunnel Mouth Junction Line (Circular Railway)	0.00 - 1.60	Wavertree Junction	nan
WCS	Selhust Junction to Gloucester Road Junction Curve	9.43 - 9.66	Victoria	nan
WCY	Woodhall Colliery Branch	0.00 - 1.75	Mossend	Caledonian Railway route
WDB	Wrexham Central and Bidston Line	see separate portions	nan	nan
WDB1	Wrexham Central to Hawarden Bridge	0.00 - 13.33	Wrexham Central	nan
WDB2	Dee Marsh West Junction to Hawarden Bridge	14.02 - 14.15	Bidston	nan
WDB3	Bidston Dee Junction to Dee Marsh West Junction	0.09 - 14.02	Bidston	nan
WDG	Westerham to Dunton Green Branch	20.37 - 25.20	Charing Cross	nan
WDJ	Walsall to Darlaston Junction Curve	0.15 - 1.16	Darlaston	nan
WDK	Workington Dock Branch	0.00 - 1.11	Dock junction	nan
WDN	Warping Drain	100.00 - 110.00	Kings Cross ??	Bridges only: known to include one at 106.59, No 5 beside Park Drain Crossing (108.52), No 6 beside Beech Hill Crossing (109.73)
WDS	Woodside to Selsdon Branch	12.19 - 14.48	Charing Cross via Elmers End	nan
WDU	Werrington Dive Under	0.00 - 1.64	Marholm Junction	nan
WDY	Wester Dalry Branch	0.67 - 1.51	Edinburgh Princes Street	nan
WEB	Werrington Branch	79.34 - 92.58	Kings Cross via Peterborough	nan
WEC	Westhorpe Colliery Line	see separate portions	nan	nan
WEC1	Open portion	11.57 - 12.17	Langwith Junction via Clowne	nan
WEC2	Closed portion	0.00 - 11.57	Langwith Junction	nan
WED	Windmill End Branch	137.30 - 140.15	Paddington via Didcot and Handsworth	nan
WEE	Winwick to Earlestown East Curve	185.49 - 187.10	Euston	nan
WEF1	Wembley European Freight Operating Centre	1.62 - 2.58	Kensal Green Junction	nan
WEH	Wells Harbour Branch	0.10 - 0.68	Wells Next The Sea	nan
WEJ	Bicester West Junction to East Junction	nan	nan	See BSG; name not certain
WEL	West Ealing Loop	see separate portions	nan	nan
WEL1	West Ealing Junction to Greenford West Junction	6.56 - 8.77	Paddington via West Ealing	nan
WEL2	Greenford Bay Line	8.65 - 9.06	Paddington via West Ealing	nan
WEM	Wembly Stadium Loop	nan	nan	Now WSL
WEN	Wenford Branch	5.25 - 12.01	Wadebridge	nan
WES	Westbury Avoiding Line	94.44 - 97.02	Paddington via Newbury	nan
WET	Whitehaven Cleator and Egremont Line	0.00 - 9.44	Mire House Junction	nan
WEW	Wetherby West Curve	10.15 - 10.56	Cross Gates East Junction	nan
WEY	Weymouth Line	96.10 - 162.14	Paddington via Melksham	nan
WEZ	Wells Branch	0.00 - 5.38	Glastonbury	nan
WFB	West Fife Branch	0.00 - 4.46/ 0.00 - 2.49	Kelty Station Junction/ Whitemyre Junction	nan
WFD	Winsford Branch	25.67 - 31.79	Manchester Central	nan
WFK	Walkinshaw Fork	0.00 - 0.23	Walkinshaw North Junction	nan
WFL	Willesden Freightliner Depot	5.23 - 5.73	Euston	nan
WFM	Woodham Ferrers to Maldon Line	34.11 - 42.40	Liverpool Street	nan
WFS	Watford Sidings	0.00 - &ap;0.60	Watford South Junction	nan
WGL	Wednesbury Goods Loop	0.00 - 0.27	Bescot Curve Junction	nan
WGP	Wigston to Glen Parva Curve	95.37 - 96.08	St Pancras	nan
WGS	Wembley InterCity Depot	see separate portions	nan	nan
WGS1	New East Sidings	2.37 - 2.57	Kensal Green Junction	Sidings not identified
WGS2	Carriage Maintenance and Cleaning Sheds	2.00 - 2.49	Kensal Green Junction	nan
WGS3	Carriage Stabling and Marshalling Sidings	2.15 - 2.48	Kensal Green Junction	nan
WGS4	Wembley Carriage Sidings	?? - ??	Kensal Green Junction	Sidings not identified
WGW	Widnes Gasworks Branch	0.00 - 1.17	Moor Lane Junction	nan
WGZ	Witney Goods Branch	75.12 - 75.41	Paddington via Didcot	nan
WHA	Whitacre to Hampton in Arden Line	0.00 - 6.41	Whitacre Junction	nan
WHB	Wharncliffe Branch	171.41 - 175.04	St Pancras	nan
WHC	Whitlingham Junction and Cromer Line	see separate portions	nan	nan
WHC1	Whitlingham Junction to Roughton Road	1.69 - 24.00	Norwich	nan
WHC2	Roughton Road to Runton East Junction	11.54 - 13.48	North Walsham via Mundesley Loop	nan
WHC3	Runton East Junction to Cromer	45.64 - 46.42	South Lynn Junction	nan
WHE	Welwyn Garden City to Hertford East Line	17.59 - 27.77	Kings Cross	nan
WHG	West Hartlepool Goods Branch	0.00 - 2.43	Newburn Junction	nan
WHI	Whitworth Branch	0.00 - 1.58	Tonmawr East Junction	nan
WHJ	Whitchurch and Tattenhall Branch	0.00 - 14.49	Tattenhall Line Junction	nan
WHL	West Highland Line	0.00 - 99.37	Craigendoran Junction	nan
WHM	West Hallam Branch	122.70 - 127.77	St Pancras	Parallel to TCC 122.70 - 123.65
WHN	Whithorn Branch	0.00 - 19.18	Newton Stewart Junction	nan
WHO	Dobbs Brow Junction to Hindley and Blackford Branch Junction	13.42 - 14.67	Manchester Victoria via Walkden	Code derived from Westhoughton Connecting Line?
WHR	Whiskerhill Junction to Retford Curve	63.28 - 64.29	Manchester London Road via Woodhead	nan
WHS	West Ham (ex PS) Sidings	0.00 - 0.21	Branch Junction	nan
WHT	Washwood Heath Sidings	38.38 - 39.50	Derby via Whitacre Junction	nan
WHX	West Highland Line closed portion at Fort William	99.37 - 99.70	Craigendoran Junction	nan
WIB	Widnes Branch	0.00 - 5.02	Widnes East Junction	nan
WIC	Wingate Curve	?? - ??	nan	County Durham area
WID	West India Dock Coal Depot	0.00 - 0.16	Midland Junction	nan
WIE	Wishaw Estate Line	?? - ??	nan	nan
WIG	Wisbech Goods Branch	85.69 - 103.06	Liverpool Street via Clapton and Ely	Same as MMR?
WIH	Wisbech Harbour Branch	0.00 - 1.53 or 0.00 - 0.68	Wisbech Junction or Harbour Branch Junction	Exact route uncertain, see link for details
WIL	Williamthorpe Branches	see separate portions	nan	nan
WIL1	Williamthorpe Branch	146.05 - 147.27	St Pancras via Grassmoor Branch Junction	nan
WIL2	Williamthorpe Colliery Branch	0.00 - 1.65	Heath Station Junction	Great Central route
WIM	Witham to Maldon Line	38.39 - 44.39	Liverpool Street	nan
WIN	Windsor Branch	18.36 - 21.21	Paddington	nan
WIS	Wickford and Southminster Branch	29.13 - 45.42	Liverpool Street	nan
WIT	Withernsea Branch	3.21 - 20.66	Hull Paragon	nan
WIY	Wimberry Branch	14.70 - 15.66	Berkeley Road Junction	Formerly SWI
WJB	Willington Junction to Bopeep Junction (Eastbourne to Hastings) Line	20.36 - 32.76	Brighton via Stonecross Junction	Stonecross Junction at 21.45; reverse, reverse count at Junction
WJH	Horncastle Branch	122.51 - 130.01/ 0.00 - 7.30	Kings Cross/Kirkstead Junction	nan
WJK	Walton Junction and Kirkby Branch	29.41 - 33.16	Manchester Victoria	nan
WJL	Weaver Junction and Liverpool Line	see separate portions	nan	nan
WJL1	Weaver Junction to Ditton No 1 Junction	174.22 - 182.67	Euston	nan
WJL2	Ditton No 1 Junction to Speke Junction	182.67 - 186.72	Euston	nan
WJL3	Speke Junction to Edge Hill Junction	186.72 - 191.75	Euston	nan
WJL4	Edge Hill Junction to Liverpool Lime Street	191.75 - 193.52	Euston	nan
WJM	Welham Junction to Melton Junction Line	0.00 - 20.28	Welham Junction	nan
WJN	Wigan Junction Line	0.00 - 11.46	Glazebrook West Junction	nan
WJP	Woodley Junction to Bredbury (Partington Branch)	39.58 - 40.53	Liverpool Central	nan
WJP	Woodley Junction to Partington Branch	see separate portions	nan	nan
WJP1	Glazebrook East Junction to Woodley Junction	24.57 - 40.42	Liverpool Central	nan
WJP2	Apethorne Junction to Godley Junction	40.71 - 43.07	Liverpool Central	nan
WJS	Whiteshawgate Junction and Strathaven Central Line	9.36 - 11.03	Strathaven Junction, Hamilton	nan
WKB	West Kensington Branch	0.00 - 0.40	West Kensington Junction	nan
WKC	Welbeck Colliery Branch	0.00 - 3.54	Welbeck Colliery Junction	nan
WKG	Woking Yards	see separate portions	nan	nan
WKG1	Not allocated	nan	nan	nan
WKG2	Not allocated	nan	nan	nan
WKG3	Not allocated	nan	nan	nan
WKG4	Not allocated	nan	nan	nan
WKG5	Not allocated	nan	nan	nan
WKG6	Not allocated	nan	nan	nan
WKG7	Not allocated	nan	nan	nan
WKG8	Down Yard Country end	24.33 - 25.16	Waterloo	nan
WKG9	Up Yard and Pre-assembly Yard	24.30 - 25.12	Waterloo	nan
WKL	Wigan and Kirkby Line	see separate portions	nan	nan
WKL1	Wigan to Pemberton Junction	18.04 - 19.48	Manchester Victoria	nan
WKL2	Pemberton Junction to Kirkby	19.09 - 29.41	Manchester Victoria	nan
WKR	Whitwick Colliery Railway	0.00 - ??	nan	Leicestershire
WKS	Wolverton Works	see separate portions	nan	nan
WKS1	Train Store and Associated Sidings	&ap;52.47 - 52.71	Euston	nan
WKS2	Lifting Shop Heavy Repair Shop and Sidings	0.00 - 0.48	Junction with WOW2	nan
WKV	Wansbeck Valley Line	0.00 - 26.36	Morpeth Junction	nan
WLE	Ministry of Works (Westerleigh East) Loop	nan	nan	Now MYW
WLH	Wellhill Branch	?? - ??	nan	nan
WLL	West London Line	0.00 - 6.19	Falcon Junction	nan
WLL9	North Pole Channel Tunnel Carriage Servicing Depot	0.00 - 1.02	Buffer stops	nan
WLN	Dunstable Branch	17.67 - 37.49	Kings Cross via Hatfield	nan
WLR	Wormit to Leuchars (Tayport) Branch	0.00 - 10.14	Leuchars Junction	nan
WLS	Woodhall Junction to Little Steeping Line	0.00 - 14.77	Coningsby Junction	nan
WLY	West London Yard Line	1.71 - 2.51	Paddington	Now part of WLL9
WMB	Willesden Junction to Mitre Bridge Junction Curve	0.00 - 0.43	Mitre Bridge Junction	nan
WMC	Wroxham to County School Line	8.72 - 32.56	Norwich	nan
WMD1	Willesden Traction Maintenance Depot	4.60 - 5.30	Euston	nan
WME	Woodburn Junction to Mexborough East Junction Line	0.00 - 10.17	Woodburn Junction	nan
WMJ	Weedon to Marton Junction Line	0.00 - 17.79	Weedon Junction	nan
WMO	Wavertree Junction to Downhill Carriage Sidings/LNER Cattle Station	0.00 - 0.26	Wavertree Junction	nan
WMP	Pilkington Branch	0.00 - 0.12	Pilkington Siding, St Helens Central	Great Central Railway route
WMR	Woodmuir Branch	0.00 - 1.00	Woodmuir Junction	nan
WMS	Western Junction to Middle Junction (Sittingbourne) Curve	43.70 - 44.13	Victoria via Herne Hill	nan
WMY	Whitemoor Yard	86.20 - 87.41	Liverpool Street	nan
WMY1	Whitemoor Yard	86.43 - 86.73	Liverpool Street	nan
WNB	Watnall Branch	?? - ??	nan	off DEX?
WNC	Wincobank North Curve	0.00 - 0.41	Wincobank West Junction	nan
WND	Wellington to Stafford via Donnington Branch	0.00 - 18.31	Stafford	Formerly Shropshire Union Line
WNL	Watnall Colliery Branch	0.00 - 1.55	Watnall Branch Junction	nan
WNS	Wigston to Nuneaton South Line	0.02 - 15.32	Nuneaton South Junction	nan
WNT	Walnut Tree Branch	9.37 - 12.03	Cardiff East Dock	nan
WOA	Walton Old Junction to Arpley Junction Curve (Warrington)	see separate portions	nan	nan
WOA1	Arpley Junction to Walton Old Junction	0.00 - 0.68	Arpley Junction	nan
WOA2	Gridiron Junction South to Junction North (Arpley Sidings Line)	0.00 - 0.62	Arpley Grid Iron Junction South	nan
WOA3	Grid Iron Feeding Junction to Warrington South Junction	0.00 - 0.23	Grid Iron Feeding Junction	nan
WOA4	Arpley Holding Sidings	0.00 - 0.17	Arpley Grid Iron Junction North	nan
WOD	Woolsthorpe (Denton) Branch	0.00 - 5.51	Belvoir Junction	nan
WOF	Grafton West Junction (Wolfhall Loop)	13.46 - 13.70	Red Post Junction	nan
WOG	Worcester Goods Loop	120.14 - 120.69	Paddington via Didcot and Charlbury	Formerly WOR
WOL	Wolvercot Loop	0.00 - 1.48	Oxford Road Junction	nan
WOM	Wombwell Main Colliery Branch	0.00 - 0.38	Wombwell Main Junction	Great Central Railway route
WOO	Woodend Branch	0.00 - 0.76	Woodend Junction	nan
WOP	Water Orton to Park Lane Junction Curve	35.15 - 36.04	Derby via Whitacre Junction	nan
WOR	Worcester Goods Loop	nan	nan	Now WOG
WOR	Worsbrough Branch	1.31 - 9.02	Barnsley Junction	nan
WOT	Waterloo Independent Lines	0.10 - 0.32	Olive Mount Junction	Pighue Lane Junction to Exhibition Junction
WOW	Wolverton Works	see separate portions	nan	nan
WOW1	Centre Sidings	51.37 - 52.05	Euston	nan
WOW2	Reception Sidings	51.60 - &ap;52.47	Euston	nan
WOZ	Woodstock Branch	0.00 - 3.57	Kidlington	nan
WPG	Wheatley Park Branch	0.00 - 2.04	Marshgate Goods Box	Doncaster area
WPH	Woking to Portsmouth Harbour (Portsmouth Direct Line)	see separate portions	nan	nan
WPH1	Woking to Havant	24.62 - 66.18	Waterloo via Woking	nan
WPH2	Havant to Portsmouth Harbour	37.25 - 45.36	Brighton	nan
WPI	Whitby and Pickering Branch	nan	nan	Duplicates RLG and MBW3?
WPK	Wimbledon Park and Depot Sidings	5.63 - 7.00	Waterloo	nan
WPM	Westfield Paper Mills Branch	0.00 - 0.24	Westfield Paper Mills Siding	Between Bathgate Lower and Westfield
WPS	Wyre Dock (Fleetwood) and Poulton-Le-Fylde Branch	14.40 - 20.64	Preston	Also known as Wyre Power Station Branch
WPT	Wilsontown Pit No 9 Branch	0.00 - 1.00	Wilsontown	nan
WQL	Whatley Quarry Lines	2.38 - 4.00	Radstock Branch Junction	nan
WRB	Wicker Branch	see separate portions	nan	nan
WRB1	Tunnel Line Junction to Wicker Goods	1.04 - 1.30	Grimesthorpe Junction	nan
WRB2	Grimesthorpe Junction to Bridgehouses	0.00 - 1.49	Grimesthorpe Junction	nan
WRG	Whitehall Road Goods Sidings	185.26 - 185.49/ 42.12 - 42.35	Kings Cross/Manchester London Road via Huddesfield	nan
WRI	Wrington Vale Light Railway	0.00 - 6.41	Wrington Vale Branch Junction	nan
WRM	Willesden Royal Mail Terminal	1.11 - 1.61	Kensal Green Junction	nan
WRO	Waterloo (Aberdeen) Branch	0.00 - 1.69	Waterloo	nan
WRS	Whittington Road Junction to Wagon Repairs Siding	147.65 - 148.01	St Pancras via Leicester and Toton	= Barrow Hill area ??
WRZ	Wernplumis Branch	13.54 - 14.04	Swansea St Thomas Station	nan
WSA	Watford to St Albans Abbey Branch	0.00 - 6.53	Watford South Junction	nan
WSB	Weston-Super-Mare Old Branch	nan	nan	Now WSO
WSB	West Sleekburn and Blyth Branch	0.00 - 4.06	West Sleekburn Junction	nan
WSC	Wentworth Silkstone Colliery Branch	0.00 - 0.54	Wentworth Junction	Off Worsborough Line
WSD	Stamford to Wansford Branch	0.00 - 8.23	Stamford GN	nan
WSE	Mottram Junction to Waterside Branch	0.00 - 2.16	Mottram Junction	nan
WSH	Wheatsheaf Branch	0.00 - 2.20	Wheatsheaf Junction	nan
WSJ	Wolverhampton to Saltney Junction (Chester) Line	see separate portions	nan	nan
WSJ1	Wolverhampton North Junction to Stafford Road Junction (Victoria Basin Branch)	142.79 - 143.75	Paddington via Didcot, Birmingham Snow Hill and Stafford Road Junction (reverse)	nan
WSJ2	Stafford Road Junction to Saltney Junction	143.02 - 212.12	Paddington via Didcot and Birmingham Snow Hill	nan
WSJ3	Stafford Road Junction to Saltney Junction	143.02 - 143.65	Paddington via Didcot and Birmingham Snow Hill	nan
WSL	Wembley Stadium Loop	0.00 - 1.10	Wembley Stadium Down Junction	Formerly WEM
WSM	Weston-Super-Mare Loop	135.12 - 139.05	Paddington via Box	nan
WSN	Wilsontown Branch	80.22 - 84.12	Carlisle	nan
WSO	Weston-Super-Mare Old Branch	136.60 - 137.69	Paddington via Box	Formerly WSB
WSP	Wilsontown Loop	0.00 - 0.19	Wilsontown Junction North	nan
WST	Wednesbury Town Junction to Central Junction Curve	0.00 - 0.31	Wednesbury Town Junction	nan
WTA	Wright Andersons Branch	?? - ??	nan	Near Gateshead
WTB	West Blyth Staithes Branch	1.68 - 3.30	West Sleekburn Junction	nan
WTD	Waterside Branch	0.00 - 1.07	Waterside Junction	Waterside Junction to Bridgend Junction on Kirkintilloch to Garnqueen South Junction Line North British Railway route
WTE	Weymouth to Easton Branch	168.34 - 176.66	Paddington via Melksham	Formed from Weymouth and Portland Line; Castleton Tramway; Admiralty Extension Line; and Easton and Church Hope Railway
WTG	Whitrigg Branch	0.00 - 0.79	Whitburn	Between Bathgate and Fauldhouse & Crofthead
WTH	West Norwood to Tulse Hill Line (West Norwood Spur)	6.15 - 6.41	London Bridge	nan
WTL	Warriston to Trinity Lane Line	0.00 - 0.51	Warriston Junction	nan
WTN	Wanton Walls to Niddrie Line	see separate portions	nan	nan
WTN1	Niddrie West to mileage change	6.33 - 7.32	Haymarket Central Junction	nan
WTN2	Mileage change to Wanton Walls Junction	4.68 - 5.60	Millerhill	nan
WTP	Weston Clevedon and Portishead Light Railway	0.00 - ??	nan	Piers only
WTQ	Weymouth Quay Branch (Tramway and Harbour Lines)	168.34 - 169.66	Paddington via Melksham	nan
WTR	Walsall to Ryecroft Line	0.00 - 0.39	North Walsall Junction	nan
WTS	Westerleigh Branch	120.03 - 122.65	Derby	Formerly part of BGL2
WTS	Willesden Through Sidings	6.06 - 6.76	Euston	nan
WTT	West Street Branch	0.00 - 0.22	West Street Junction	nan
WTW	Wooferton and Tenbury Wells Branch	0.00 - 5.09	Tenbury Branch Junction	nan
WTZ	Taunton West Loop	162.51 - 163.56	Paddington via Box	nan
WUT	Wisbech and Upwell Tramway	0.00 - 5.74	Wisbech	Listed as 0.00 - 6.00 but also structures to 6.15
WVH	Wear Valley Junction to Hownsgill Junction Line	?? - ??	nan	Possibly included in DAE2
WVL	Western Valleys Line	0.00 - 20.37	Courtybella (Town Dock) Junction	nan
WVO	Woodville Old Branch	122.61 - 123.55	St Pancras via Leicester, Coalville and Woodville	nan
WWB	Whitwood Branch	0.00 - 0.62	Whitwood Junction	nan
WWC	Waleswood Curve	0.00 - 1.58	Killamarsh Junction	nan
WWD	Wishaw Line (Law Junction to Holytown)	84.10 - 89.56	Carlisle	nan
WWH	Walsall Wood Branch	44.73 - 50.14	London Road Derby via Whitacre	nan
WWK	Wakefield Westgate Curve	0.00 - 0.26	Westgate South Junction	nan
WWS	Wortley West to South Curve	184.39 - 184.74	Kings Cross	nan
WXB	Whitecross Street Branch	0.00 - 0.14	Aldersgate (Barbican) Junction	nan
WYD	Wednesbury to Darlaston Line	0.00 - 2.41	Wednesbury Town Junction	nan
WYE	Wye Valley Line	0.00 - 13.66	Wye Valley Junction	nan
WYK	Wyken Branch	0.00 - 0.73	Longford Junction	nan
WYL	Westbury East Loop	94.76 - 95.30	Paddington via Newbury	nan
WYM	Wymington Slow Line	58.34 - 62.07	St Pancras	See also SPC2
WYS	Wemyss Bay Line	0.00 - 10.03	Wemyss Bay Junction	nan
WZS	Willesden Traction Maintenance Depot Sidings	4.60 - 5.34	Euston	nan
XRC	Crossrail Central Section	see separate portions	nan	nan
XRC1	Paddington to Pudding Mill Lane portal	0.000km - 14.629km	Paddington	Code as advised by project engineer; now part of new XRC
